chicken2breast,300.0,0.006
eggs,4.0,0.170833333
ham,0.0,0.1
tortilla_wraps,4.0,0.11875
edam,6.0,0.175
2avocado,1.0,1.25
4_pork_loins,0.0,0.75
petit_pois,600.0,0.0013
baby_potatoes,10.0,0.001
asparagus_tips,125.0,0.0144
2_salmon,2.0,1.625
spagetti,600.0,0.001
bolognese,1000.0,0.00064
smoked_bacon_lardons,0.0,1.0
sausages,6.0,0.20833333333333334
carrots,800.0,0.0004
couscous,350.0,0.0014
red_onions,2.0,0.2833333333333333
peppers,3.0,0.45
minced_beef,250.0,0.005
corn_can,0.0,0.0034999999999999996
mixed_frozen_veggies,750.0,0.00079
sliced_bread,20.0,0.05500000000000001
hash_browns,5.0,0.08
gnocci,500.0,0.0015
pepperoni_pizza,1.0,3.5
meal_deal,1.0,3.0
